Lat+Long,CFLL,Addr,CFAM,address_id,CF Zone,Latitude,Longitude,Street_Number,Street_Name,County,City,Country_Code,Zip_Code,State,FDAName,FDHName,Conduit Placed Date,Construction Complete (forecasted date),Construction Complete Date,Ready for Service Date,Locate_Group,Address,Uploaded to Sales Rabbit
32.693847-97.183811,#N/A,3200 LITTLE RD,6850,6850,Arlington - 1.01,32.693847,-97.183811,3200,LITTLE RD,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,3200 LITTLE RD,
32.689868-97.190892,6851,3600 GRISSOM DR,6851,6851,Arlington - 1.01,32.689868,-97.190892,3600,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,3600 GRISSOM DR,
32.689918-97.190485,7093,5511 GRISSOM DR,7093,7093,Arlington - 1.01,32.689918,-97.190485,5511,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5511 GRISSOM DR,
32.689891-97.190085,6917,5503 GRISSOM DR,6917,6917,Arlington - 1.01,32.689891,-97.190085,5503,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5503 GRISSOM DR,
32.68988-97.189842,7174,5501 GRISSOM DR,7174,7174,Arlington - 1.01,32.68988,-97.189842,5501,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5501 GRISSOM DR,
32.689869-97.189599,7115,5417 GRISSOM DR,7115,7115,Arlington - 1.01,32.689869,-97.189599,5417,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5417 GRISSOM DR,
32.689858-97.189355,6814,5415 GRISSOM DR,6814,6814,Arlington - 1.01,32.689858,-97.189355,5415,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5415 GRISSOM DR,
32.689848-97.189112,6981,5411 GRISSOM DR,6981,6981,Arlington - 1.01,32.689848,-97.189112,5411,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5411 GRISSOM DR,
32.689837-97.188868,6898,5409 GRISSOM DR,6898,6898,Arlington - 1.01,32.689837,-97.188868,5409,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5409 GRISSOM DR,
32.689826-97.188625,7116,5407 GRISSOM DR,7116,7116,Arlington - 1.01,32.689826,-97.188625,5407,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5407 GRISSOM DR,
32.689815-97.188386,7072,5405 GRISSOM DR,7072,7072,Arlington - 1.01,32.689815,-97.188386,5405,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5405 GRISSOM DR,
32.68981-97.188152,7212,5403 GRISSOM DR,7212,7212,Arlington - 1.01,32.68981,-97.188152,5403,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5403 GRISSOM DR,
32.689794-97.187914,7127,5401 GRISSOM DR,7127,7127,Arlington - 1.01,32.689794,-97.187914,5401,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5401 GRISSOM DR,
32.689762-97.187675,6997,5309 GRISSOM DR,6997,6997,Arlington - 1.01,32.689762,-97.187675,5309,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5309 GRISSOM DR,
32.689704-97.187428,6899,5305 GRISSOM DR,6899,6899,Arlington - 1.01,32.689704,-97.187428,5305,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5305 GRISSOM DR,
32.689678-97.187018,114712,3500 LITTLE RD,114712,114712,Arlington - 1.01,32.689678,-97.187018,3500,LITTLE RD,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,3500 LITTLE RD,
32.689643-97.191054,7217,3602 GRISSOM DR,7217,7217,Arlington - 1.01,32.689643,-97.191054,3602,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,3602 GRISSOM DR,
32.68947-97.187317,7109,5301 GRISSOM DR,7109,7109,Arlington - 1.01,32.68947,-97.187317,5301,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5301 GRISSOM DR,
32.689423-97.190552,7067,5512 GRISSOM DR,7067,7067,Arlington - 1.01,32.689423,-97.190552,5512,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5512 GRISSOM DR,
32.689434-97.190261,7085,5508 GRISSOM DR,7085,7085,Arlington - 1.01,32.689434,-97.190261,5508,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5508 GRISSOM DR,
32.689426-97.190018,6918,5504 GRISSOM DR,6918,6918,Arlington - 1.01,32.689426,-97.190018,5504,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5504 GRISSOM DR,
32.689419-97.189774,7220,5500 GRISSOM DR,7220,7220,Arlington - 1.01,32.689419,-97.189774,5500,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5500 GRISSOM DR,
32.689451-97.191152,6828,3604 GRISSOM DR,6828,6828,Arlington - 1.01,32.689451,-97.191152,3604,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,3604 GRISSOM DR,
32.689411-97.18953,7175,5416 GRISSOM DR,7175,7175,Arlington - 1.01,32.689411,-97.18953,5416,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5416 GRISSOM DR,
32.689403-97.189298,6822,5414 GRISSOM DR,6822,6822,Arlington - 1.01,32.689403,-97.189298,5414,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5414 GRISSOM DR,
32.689396-97.189054,6919,5412 GRISSOM DR,6919,6919,Arlington - 1.01,32.689396,-97.189054,5412,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5412 GRISSOM DR,
32.689387-97.188808,7224,5410 GRISSOM DR,7224,7224,Arlington - 1.01,32.689387,-97.188808,5410,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5410 GRISSOM DR,
32.689379-97.188572,7073,5408 GRISSOM DR,7073,7073,Arlington - 1.01,32.689379,-97.188572,5408,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5408 GRISSOM DR,
32.689371-97.188331,6790,5404 GRISSOM DR,6790,6790,Arlington - 1.01,32.689371,-97.188331,5404,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5404 GRISSOM DR,
32.689364-97.188096,6818,5400 GRISSOM DR,6818,6818,Arlington - 1.01,32.689364,-97.188096,5400,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5400 GRISSOM DR,
32.689304-97.187882,6974,5308 GRISSOM DR,6974,6974,Arlington - 1.01,32.689304,-97.187882,5308,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5308 GRISSOM DR,
32.6892-97.187683,7169,5304 GRISSOM DR,7169,7169,Arlington - 1.01,32.6892,-97.187683,5304,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5304 GRISSOM DR,
32.689264-97.191239,6895,3606 GRISSOM DR,6895,6895,Arlington - 1.01,32.689264,-97.191239,3606,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,3606 GRISSOM DR,
32.689077-97.187477,7130,5300 GRISSOM DR,7130,7130,Arlington - 1.01,32.689077,-97.187477,5300,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5300 GRISSOM DR,
32.68905-97.191338,6859,3608 GRISSOM DR,6859,6859,Arlington - 1.01,32.68905,-97.191338,3608,GRISSOM DR,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,3608 GRISSOM DR,
32.690594-97.190409,114714,3521 GREEN OAKS BLVW,#N/A,114714,Arlington - 1.01,32.690594,-97.190409,3521,GREEN OAKS BLVW,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,3521 GREEN OAKS BLVW,
32.690614-97.189893,114715,5501 MAYFIELD RD W,#N/A,114715,Arlington - 1.01,32.690614,-97.189893,5501,MAYFIELD RD W,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:003,,,#N/A,,,5501 MAYFIELD RD W,
32.693781-97.189994,7059,5511 ATLANTIS TER,7059,7059,Arlington - 1.01,32.693781,-97.189994,5511,ATLANTIS TER,City of Arlington,Arlington,1,76016,Texas,FDA:001,FDH:005,,,#N/A,,,5511 ATLANTIS TER,
